2016-02-11 21:12:06,790 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:12:06,855 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:12:06,858 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:12:06,859 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:12:22,421 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:12:22,422 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:12:22,426 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:12:22,427 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:13:22,242 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:13:22,244 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:13:22,250 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:13:22,252 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:13:28,324 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:13:28,325 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:13:28,329 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:13:28,330 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:14:10,654 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:14:10,655 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:14:10,678 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:14:10,679 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:16:19,480 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:16:19,481 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:16:19,484 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:16:19,487 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:18:27,882 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
